========================================
覆盖路径点统计信息
========================================
总路径点数: 60

总路径距离: 30.426 米

----------------------------------------
按房间统计
----------------------------------------
房间 6: 60 个点, 距离: 30.426 米

----------------------------------------
按房间+Segment统计
----------------------------------------
房间 6, Segment 0: 60 个点, 距离: 30.426 米

----------------------------------------
详细路径点信息
----------------------------------------
ID	Room	Segment	X(m)	Y(m)	Yaw(rad)	U(px)	V(px)	Acc_Dist	Room_Dist	Seg_Dist
0	6	0	4.814971	4.983919	-3.139640	434	266	0.000	0.000	0.000
1	6	0	4.314972	4.982943	-3.139640	424	266	0.500	0.500	0.500
2	6	0	3.814973	4.981966	-3.139640	414	266	1.000	1.000	1.000
3	6	0	3.314974	4.980989	-3.139640	404	266	1.500	1.500	1.500
4	6	0	2.814975	4.980013	-3.139640	394	266	2.000	2.000	2.000
5	6	0	2.314976	4.979036	-3.139640	384	266	2.500	2.500	2.500
6	6	0	1.814977	4.978060	-3.139640	374	266	3.000	3.000	3.000
7	6	0	1.314978	4.977083	-3.139640	364	266	3.500	3.500	3.500
8	6	0	0.814979	4.976107	-3.139640	354	266	4.000	4.000	4.000
9	6	0	0.314980	4.975130	-3.139640	344	266	4.500	4.500	4.500
10	6	0	0.038094	4.974589	-3.139640	339	267	4.777	4.777	4.777
11	6	0	-0.288451	4.993249	-2.030403	332	266	5.104	5.104	5.104
12	6	0	-0.748506	4.063767	-1.886250	323	285	6.141	6.141	6.141
13	6	0	-0.754951	3.563808	-1.583687	323	295	6.641	6.641	6.641
14	6	0	-0.761396	3.063850	-1.583687	323	305	7.141	7.141	7.141
15	6	0	-0.767841	2.563891	-1.583687	323	315	7.641	7.641	7.641
16	6	0	-0.774286	2.063933	-1.583687	323	325	8.141	8.141	8.141
17	6	0	-0.780731	1.563974	-1.583687	322	335	8.641	8.641	8.641
18	6	0	-0.787176	1.064016	-1.583687	322	345	9.141	9.141	9.141
19	6	0	-0.793622	0.564057	-1.583687	322	355	9.641	9.641	9.641
20	6	0	-0.800067	0.064099	-0.804998	322	365	10.141	10.141	10.141
21	6	0	-0.183503	-0.070459	0.561736	334	367	10.772	10.772	10.772
22	6	0	-0.078870	0.517999	1.464444	336	356	11.370	11.370	11.370
23	6	0	-0.067318	1.017866	1.547691	337	346	11.870	11.870	11.870
24	6	0	-0.055767	1.517732	1.547691	337	336	12.370	12.370	12.370
25	6	0	-0.044215	2.017599	1.547691	337	326	12.870	12.870	12.870
26	6	0	-0.032664	2.517465	1.547691	337	316	13.370	13.370	13.370
27	6	0	-0.021112	3.017332	1.547691	338	306	13.870	13.870	13.870
28	6	0	-0.009561	3.517198	1.547691	338	296	14.370	14.370	14.370
29	6	0	0.001991	4.017065	0.768934	338	286	14.870	14.870	14.870
30	6	0	0.861242	4.359789	0.243597	355	279	15.795	15.795	15.795
31	6	0	1.361218	4.354877	-0.009823	365	279	16.295	16.295	16.295
32	6	0	1.861193	4.349966	-0.009823	375	279	16.795	16.795	16.795
33	6	0	2.361169	4.345055	-0.009823	385	279	17.295	17.295	17.295
34	6	0	2.861145	4.340143	-0.009823	395	279	17.795	17.795	17.795
35	6	0	3.361121	4.335232	-0.009823	405	279	18.295	18.295	18.295
36	6	0	3.861097	4.330321	-0.009823	415	279	18.795	18.795	18.795
37	6	0	4.361073	4.325409	-0.432649	425	279	19.295	19.295	19.295
38	6	0	4.958628	4.482089	-0.432649	437	276	19.913	19.913	19.913
39	6	0	5.228499	4.705697	-0.432649	442	271	20.263	20.263	20.263
40	6	0	5.737399	4.713407	-0.432649	452	271	20.772	20.772	20.772
41	6	0	5.945586	4.366430	-0.432649	456	278	21.177	21.177	21.177
42	6	0	5.953296	4.019452	-0.432649	457	285	21.524	21.524	21.524
43	6	0	5.775952	3.772713	-0.432649	453	290	21.828	21.828	21.828
44	6	0	5.109186	3.753914	-1.307413	440	291	22.495	22.495	22.495
45	6	0	4.520001	3.736018	-3.127092	428	291	23.084	23.084	23.084
46	6	0	4.020005	3.738119	3.137391	418	291	23.584	23.584	23.584
47	6	0	3.520009	3.740220	3.137391	408	291	24.084	24.084	24.084
48	6	0	3.020014	3.742321	3.137391	398	291	24.584	24.584	24.584
49	6	0	2.520018	3.744422	3.137391	388	291	25.084	25.084	25.084
50	6	0	2.020023	3.746523	3.137391	378	291	25.584	25.584	25.584
51	6	0	1.520027	3.748623	3.137391	368	291	26.084	26.084	26.084
52	6	0	1.020031	3.750724	-2.370731	358	291	26.584	26.584	26.584
53	6	0	0.603638	2.858496	-1.869622	350	309	27.569	27.569	27.569
54	6	0	0.591204	2.358650	-1.595667	350	319	28.069	28.069	28.069
55	6	0	0.578770	1.858805	-1.595667	350	329	28.569	28.569	28.569
56	6	0	0.566336	1.358959	-1.595667	349	339	29.069	29.069	29.069
57	6	0	0.553902	0.859114	-1.595667	349	349	29.569	29.569	29.569
58	6	0	0.541468	0.359269	-1.595667	349	359	30.069	30.069	30.069
59	6	0	0.532575	0.001785	-1.595667	349	366	30.426	30.426	30.426
