========================================
覆盖路径点统计信息
========================================
总路径点数: 1842

总路径距离: 1391.777 米

----------------------------------------
按房间统计
----------------------------------------
房间 7: 1842 个点, 距离: 1391.777 米

----------------------------------------
按房间+Segment统计
----------------------------------------
房间 7, Segment 0: 1842 个点, 距离: 1391.777 米

----------------------------------------
详细路径点信息
----------------------------------------
ID	Room	Segment	X(m)	Y(m)	Yaw(rad)	U(px)	V(px)	Acc_Dist	Room_Dist	Seg_Dist
0	7	0	16.763273	-57.361550	2.312575	2113	1555	0.000	0.000	0.000
1	7	0	16.391691	-56.956050	2.312575	2105	1547	0.550	0.550	0.550
2	7	0	15.823466	-57.002016	-3.060875	2094	1548	1.120	1.120	1.120
3	7	0	15.012614	-56.931227	3.054512	2078	1546	1.934	1.934	1.934
4	7	0	14.198673	-56.931075	3.141405	2061	1546	2.748	2.748	2.748
5	7	0	13.455375	-56.934017	-3.137635	2046	1546	3.491	3.491	3.491
6	7	0	12.825749	-56.764968	2.879288	2034	1543	4.143	4.143	4.143
7	7	0	12.331242	-56.743379	3.097964	2024	1542	4.638	4.638	4.638
8	7	0	11.597196	-56.534389	2.864221	2009	1538	5.401	5.401	5.401
9	7	0	10.967582	-56.365340	2.879283	1997	1535	6.053	6.053	6.053
10	7	0	10.371732	-56.233156	2.923287	1985	1532	6.664	6.664	6.664
11	7	0	9.708341	-56.027248	2.840634	1971	1528	7.358	7.358	7.358
12	7	0	9.189311	-55.756856	2.661322	1961	1523	7.943	7.943	7.943
13	7	0	8.633415	-55.520259	2.739203	1950	1518	8.548	8.548	8.548
14	7	0	8.283280	-55.434188	2.900547	1943	1516	8.908	8.908	8.908
15	7	0	7.727384	-55.197591	2.739203	1932	1512	9.512	9.512	9.512
16	7	0	7.134623	-54.994759	2.811900	1920	1508	10.139	10.139	10.139
17	7	0	6.652457	-54.690596	2.578815	1910	1501	10.709	10.709	10.709
18	7	0	6.170292	-54.386434	2.578815	1901	1495	11.279	11.279	11.279
19	7	0	5.728080	-53.977846	2.395695	1892	1487	11.881	11.881	11.881
20	7	0	5.110795	-53.526229	2.509960	1879	1478	12.646	12.646	12.646
21	7	0	4.702360	-53.154506	2.403218	1871	1471	13.198	13.198	13.198
