========================================
覆盖路径点统计信息
========================================
总路径点数: 1041

总路径距离: 722.253 米

----------------------------------------
按房间统计
----------------------------------------
房间 16: 1041 个点, 距离: 722.253 米

----------------------------------------
按房间+Segment统计
----------------------------------------
房间 16, Segment 0: 1041 个点, 距离: 722.253 米

----------------------------------------
详细路径点信息
----------------------------------------
ID	Room	Segment	X(m)	Y(m)	Yaw(rad)	U(px)	V(px)	Acc_Dist	Room_Dist	Seg_Dist
0	16	0	-0.027425	-8.905851	1.527170	1777	586	0.000	0.000	0.000
1	16	0	-0.003439	-8.356376	1.527170	1777	575	0.550	0.550	0.550
2	16	0	-0.029391	-7.804722	1.617806	1777	564	1.102	1.102	1.102
3	16	0	-0.055355	-7.253062	1.617827	1776	553	1.655	1.655	1.655
4	16	0	-0.079134	-6.651451	1.610302	1776	541	2.257	2.257	2.257
5	16	0	-0.105099	-6.099797	1.617828	1775	530	2.809	2.809	2.809
6	16	0	-0.081112	-5.550321	1.527170	1776	519	3.359	3.359	3.359
7	16	0	-0.057125	-5.000840	1.527170	1776	508	3.909	3.909	3.909
8	16	0	-0.083077	-4.449186	1.617806	1776	497	4.461	4.461	4.461
9	16	0	-0.061276	-3.949662	1.527179	1776	487	4.961	4.961	4.961
10	16	0	-0.087228	-3.398002	1.617805	1776	476	5.513	5.513	5.513
11	16	0	-0.113192	-2.846348	1.617828	1775	465	6.066	6.066	6.066
12	16	0	-0.089205	-2.296867	1.527170	1775	454	6.616	6.616	6.616
13	16	0	-0.115170	-1.745213	1.617828	1775	443	7.168	7.168	7.168
14	16	0	-0.091171	-1.195738	1.527148	1775	432	7.718	7.718	7.718
15	16	0	-0.067184	-0.646263	1.527170	1776	421	8.268	8.268	8.268
16	16	0	-0.043197	-0.096781	1.527170	1776	410	8.818	8.818	8.818
17	16	0	-0.069161	0.454879	1.617827	1776	399	9.370	9.370	9.370
18	16	0	-0.097299	0.956582	1.626821	1775	388	9.873	9.873	9.873
