========================================
覆盖路径点统计信息
========================================
总路径点数: 338

总路径距离: 225.988 米

----------------------------------------
按房间统计
----------------------------------------
房间 2: 338 个点, 距离: 225.988 米

----------------------------------------
按房间+Segment统计
----------------------------------------
房间 2, Segment 0: 338 个点, 距离: 225.988 米

----------------------------------------
详细路径点信息
----------------------------------------
ID	Room	Segment	X(m)	Y(m)	Yaw(rad)	U(px)	V(px)	Acc_Dist	Room_Dist	Seg_Dist
0	2	0	5.388875	-0.461229	-1.892547	243	2351	0.000	0.000	0.000
1	2	0	5.338875	-0.611229	-1.480136	242	2354	0.158	0.158	0.158
2	2	0	5.388875	-1.161229	-1.570796	243	2365	0.710	0.710	0.710
3	2	0	5.388875	-1.761229	-1.735945	243	2377	1.310	1.310	1.310
4	2	0	5.288875	-2.361229	-1.480136	241	2389	1.919	1.919	1.919
5	2	0	5.338875	-2.911229	-1.570796	242	2400	2.471	2.471	2.471
6	2	0	5.338875	-3.511229	-1.487655	242	2412	3.071	3.071	3.071
7	2	0	5.388875	-4.111229	-1.570796	243	2424	3.673	3.673	3.673
8	2	0	5.388875	-4.711229	-1.570796	243	2436	4.273	4.273	4.273
9	2	0	5.388875	-5.311229	-1.570796	243	2448	4.873	4.873	4.873
10	2	0	5.388875	-5.911229	-1.390943	243	2460	5.473	5.473	5.473
11	2	0	5.488875	-6.461229	-1.304544	245	2471	6.032	6.032	6.032
12	2	0	5.638875	-7.011229	-1.570796	248	2482	6.602	6.602	6.602
13	2	0	5.638875	-7.611229	-1.862253	248	2494	7.202	7.202	7.202
14	2	0	5.488875	-8.111229	-1.570796	245	2504	7.724	7.724	7.724
15	2	0	5.488875	-8.711229	-1.570796	245	2516	8.324	8.324	8.324
16	2	0	5.488875	-9.311229	-1.661456	245	2528	8.924	8.924	8.924
17	2	0	5.438875	-9.861229	-0.000000	244	2539	9.476	9.476	9.476
18	2	0	5.988875	-9.861229	0.090660	255	2539	10.026	10.026	10.026
19	2	0	6.538875	-9.811229	-0.083141	266	2538	10.579	10.579	10.579
20	2	0	7.138875	-9.861229	-0.179853	278	2539	11.181	11.181	11.181
21	2	0	7.688875	-9.961229	-0.000000	289	2541	11.740	11.740	11.740
