========================================
覆盖路径点统计信息
========================================
总路径点数: 1211

总路径距离: 788.283 米

----------------------------------------
按房间统计
----------------------------------------
房间 4: 1211 个点, 距离: 788.283 米

----------------------------------------
按房间+Segment统计
----------------------------------------
房间 4, Segment 0: 1211 个点, 距离: 788.283 米

----------------------------------------
详细路径点信息
----------------------------------------
ID	Room	Segment	X(m)	Y(m)	Yaw(rad)	U(px)	V(px)	Acc_Dist	Room_Dist	Seg_Dist
0	4	0	45.188875	53.088772	-0.000000	1039	1280	0.000	0.000	0.000
1	4	0	45.788875	53.088772	-0.000000	1051	1280	0.600	0.600	0.600
2	4	0	46.388875	53.088772	-0.000000	1063	1280	1.200	1.200	1.200
3	4	0	46.988875	53.088772	-0.000000	1075	1280	1.800	1.800	1.800
4	4	0	47.588875	53.088772	0.083141	1087	1280	2.400	2.400	2.400
5	4	0	48.188875	53.138772	-0.000000	1099	1279	3.002	3.002	3.002
6	4	0	48.788875	53.138772	-0.000000	1111	1279	3.602	3.602	3.602
7	4	0	49.388875	53.138772	-0.000000	1123	1279	4.202	4.202	4.202
8	4	0	49.988875	53.138772	-0.000000	1135	1279	4.802	4.802	4.802
9	4	0	50.588875	53.138772	-0.000000	1147	1279	5.402	5.402	5.402
10	4	0	51.188875	53.138772	-0.000000	1159	1279	6.002	6.002	6.002
11	4	0	51.788876	53.138772	-0.000000	1171	1279	6.602	6.602	6.602
12	4	0	52.388876	53.138772	-0.000000	1183	1279	7.202	7.202	7.202
13	4	0	52.988876	53.138772	-0.000000	1195	1279	7.802	7.802	7.802
14	4	0	53.588876	53.138772	0.090660	1207	1279	8.402	8.402	8.402
15	4	0	54.138876	53.188772	-0.000000	1218	1278	8.954	8.954	8.954
16	4	0	54.738876	53.188772	-0.000000	1230	1278	9.554	9.554	9.554
17	4	0	55.338876	53.188772	-0.000000	1242	1278	10.154	10.154	10.154
18	4	0	55.938876	53.188772	-0.950547	1254	1278	10.754	10.754	10.754
19	4	0	56.188876	52.838772	-1.837048	1259	1285	11.184	11.184	11.184
20	4	0	56.038876	52.288772	-1.570796	1256	1296	11.755	11.755	11.755
21	4	0	56.038876	51.688772	-1.373401	1256	1308	12.355	12.355	12.355
22	4	0	56.138876	51.188772	-1.653938	1258	1318	12.864	12.864	12.864
23	4	0	56.088876	50.588772	-1.304544	1257	1330	13.467	13.467	13.467
24	4	0	56.238876	50.038772	-1.951303	1260	1341	14.037	14.037	14.037
25	4	0	56.038876	49.538771	-1.487655	1256	1351	14.575	14.575	14.575
26	4	0	56.088876	48.938771	-1.653938	1257	1363	15.177	15.177	15.177
27	4	0	56.038876	48.338771	-1.570796	1256	1375	15.779	15.779	15.779
28	4	0	56.038876	47.738771	-1.570796	1256	1387	16.379	16.379	16.379
29	4	0	56.038876	47.138771	-1.152572	1256	1399	16.979	16.979	16.979
30	4	0	56.238876	46.688771	-1.480136	1260	1408	17.472	17.472	17.472
31	4	0	56.288876	46.138771	-1.735945	1261	1419	18.024	18.024	18.024
32	4	0	56.188876	45.538771	-1.750650	1259	1431	18.632	18.632	18.632
33	4	0	56.088876	44.988771	-1.661456	1257	1442	19.191	19.191	19.191
34	4	0	56.038876	44.438771	-1.653938	1256	1453	19.744	19.744	19.744
