========================================
覆盖路径点统计信息
========================================
总路径点数: 633

总路径距离: 391.056 米

----------------------------------------
按房间统计
----------------------------------------
房间 8: 633 个点, 距离: 391.056 米

----------------------------------------
按房间+Segment统计
----------------------------------------
房间 8, Segment 0: 633 个点, 距离: 391.056 米

----------------------------------------
详细路径点信息
----------------------------------------
ID	Room	Segment	X(m)	Y(m)	Yaw(rad)	U(px)	V(px)	Acc_Dist	Room_Dist	Seg_Dist
0	8	0	0.186222	-50.108541	2.170656	1781	1410	0.000	0.000	0.000
1	8	0	-0.096041	-49.695833	2.170656	1775	1402	0.500	0.500	0.500
2	8	0	-0.278402	-49.287496	1.990814	1772	1393	0.947	0.947	0.947
3	8	0	-0.745211	-48.516402	2.115166	1762	1378	1.849	1.849	1.849
4	8	0	-1.294698	-48.492409	3.097956	1751	1377	2.399	2.399	2.399
5	8	0	-1.796395	-48.520552	-3.085555	1741	1378	2.901	2.901	2.901
6	8	0	-2.341512	-48.396651	2.918097	1730	1376	3.460	3.460	3.460
7	8	0	-2.893173	-48.422615	-3.094562	1719	1376	4.012	4.012	4.012
8	8	0	-3.392697	-48.400807	3.097963	1709	1376	4.512	4.512	4.512
9	8	0	-3.944357	-48.426766	-3.094573	1698	1376	5.065	5.065	5.065
10	8	0	-4.493832	-48.402779	3.097966	1687	1376	5.615	5.615	5.615
11	8	0	-4.995529	-48.430922	-3.085555	1677	1376	6.117	6.117	6.117
12	8	0	-5.545016	-48.406929	3.097956	1666	1376	6.667	6.667	6.667
13	8	0	-6.096664	-48.432894	-3.094560	1655	1376	7.219	7.219	7.219
14	8	0	-6.596188	-48.411080	3.097951	1645	1376	7.719	7.719	7.719
15	8	0	-7.147848	-48.437044	-3.094562	1634	1376	8.272	8.272	8.272
16	8	0	-7.697323	-48.413051	3.097955	1623	1376	8.822	8.822	8.822
17	8	0	-8.199032	-48.441194	-3.085556	1613	1376	9.324	9.324	9.324
18	8	0	-8.748507	-48.417207	3.097966	1602	1376	9.874	9.874	9.874
19	8	0	-9.300167	-48.443166	-3.094573	1591	1376	10.426	10.426	10.426
20	8	0	-9.799691	-48.421358	3.097963	1581	1376	10.926	10.926	10.926
21	8	0	-10.349166	-48.397365	3.097955	1570	1376	11.476	11.476	11.476
22	8	0	-10.900826	-48.423329	-3.094562	1559	1376	12.029	12.029	12.029
23	8	0	-11.398165	-48.351564	2.998284	1549	1375	12.531	12.531	12.531
24	8	0	-11.952011	-48.427480	-3.005372	1538	1376	13.090	13.090	13.090
25	8	0	-12.501486	-48.403487	3.097955	1527	1376	13.640	13.640	13.640
26	8	0	-13.003182	-48.431630	-3.085555	1517	1376	14.143	14.143	14.143
27	8	0	-13.552658	-48.407637	3.097955	1506	1376	14.693	14.693	14.693
28	8	0	-14.304135	-48.424880	-3.118652	1491	1376	15.444	15.444	15.444
29	8	0	-14.853610	-48.400887	3.097955	1480	1376	15.994	15.994	15.994
30	8	0	-15.405270	-48.426851	-3.094562	1469	1376	16.547	16.547	16.547
31	8	0	-15.904794	-48.405037	3.097951	1459	1376	17.047	17.047	17.047
32	8	0	-16.456454	-48.431001	-3.094562	1448	1376	17.599	17.599	17.599
33	8	0	-17.005929	-48.407015	3.097966	1437	1376	18.149	18.149	18.149
34	8	0	-17.557577	-48.432973	-3.094572	1426	1376	18.701	18.701	18.701
35	8	0	-18.107064	-48.408980	3.097956	1415	1376	19.251	19.251	19.251
36	8	0	-18.610946	-48.487081	-2.987818	1405	1377	19.761	19.761	19.761
37	8	0	-19.160421	-48.463088	3.097955	1394	1377	20.311	20.311	20.311
38	8	0	-19.712082	-48.489046	-3.094573	1383	1377	20.863	20.863	20.863
39	8	0	-20.261557	-48.465059	3.097966	1372	1377	21.413	21.413	21.413
40	8	0	-20.813217	-48.491023	-3.094562	1361	1377	21.966	21.966	21.966
41	8	0	-21.312741	-48.469209	3.097951	1351	1377	22.466	22.466	22.466
42	8	0	-21.864401	-48.495174	-3.094562	1340	1378	23.018	23.018	23.018
43	8	0	-22.413876	-48.471181	3.097955	1329	1377	23.568	23.568	23.568
44	8	0	-22.963351	-48.447188	3.097955	1318	1377	24.118	24.118	24.118
45	8	0	-23.515011	-48.473152	-3.094562	1307	1377	24.670	24.670	24.670
46	8	0	-24.014535	-48.451344	3.097963	1297	1377	25.170	25.170	25.170
47	8	0	-24.566183	-48.477303	-3.094572	1286	1377	25.722	25.722	25.722
48	8	0	-25.115658	-48.453316	3.097966	1275	1377	26.272	26.272	26.272
49	8	0	-25.867135	-48.470552	-3.118660	1260	1377	27.024	27.024	27.024
50	8	0	-26.416610	-48.446559	3.097955	1249	1377	27.574	27.574	27.574
51	8	0	-26.968271	-48.472524	-3.094562	1238	1377	28.126	28.126	28.126
52	8	0	-27.517746	-48.448531	3.097955	1227	1377	28.676	28.676	28.676
53	8	0	-28.069394	-48.474495	-3.094560	1216	1377	29.229	29.229	29.229
54	8	0	-28.093393	-49.023970	-1.614445	1215	1388	29.779	29.779	29.779
55	8	0	-28.117379	-49.573445	-1.614423	1215	1399	30.329	30.329	30.329
56	8	0	-28.091415	-50.125105	-1.523765	1215	1410	30.881	30.881	30.881
57	8	0	-28.165365	-50.672396	-1.705104	1214	1421	31.433	31.433	31.433
58	8	0	-28.089450	-51.226241	-1.434575	1215	1432	31.992	31.992	31.992
59	8	0	-28.113437	-51.775716	-1.614423	1215	1443	32.542	32.542	32.542
60	8	0	-28.187387	-52.323006	-1.705104	1214	1454	33.094	33.094	33.094
61	8	0	-28.161422	-52.874666	-1.523765	1214	1465	33.647	33.647	33.647
62	8	0	-28.185409	-53.424141	-1.614423	1214	1476	34.197	34.197	34.197
63	8	0	-28.159445	-53.975801	-1.523765	1214	1487	34.749	34.749	34.749
64	8	0	-28.183444	-54.525276	-1.614445	1214	1498	35.299	35.299	35.299
65	8	0	-28.157480	-55.076937	-1.523765	1214	1509	35.851	35.851	35.851
66	8	0	-28.231418	-55.624233	-1.705080	1213	1520	36.404	36.404	36.404
67	8	0	-28.205453	-56.175893	-1.523765	1213	1531	36.956	36.956	36.956
68	8	0	-28.227267	-56.675417	-1.614438	1213	1541	37.456	37.456	37.456
69	8	0	-28.201303	-57.227071	-1.523765	1213	1552	38.008	38.008	38.008
70	8	0	-28.225302	-57.776546	-1.614445	1213	1563	38.558	38.558	38.558
71	8	0	-28.199337	-58.328206	-1.523765	1213	1574	39.110	39.110	39.110
72	8	0	-28.223324	-58.877681	-1.614423	1213	1585	39.660	39.660	39.660
73	8	0	-28.197360	-59.429341	-1.523765	1213	1596	40.213	40.213	40.213
74	8	0	-28.221359	-59.978817	-1.614445	1213	1607	40.763	40.763	40.763
75	8	0	-28.245346	-60.528298	-1.614422	1212	1618	41.313	41.313	41.313
76	8	0	-28.219381	-61.079952	-1.523765	1213	1629	41.865	41.865	41.865
77	8	0	-28.293332	-61.627248	-1.705102	1211	1640	42.417	42.417	42.417
78	8	0	-28.267367	-62.178902	-1.523765	1212	1651	42.969	42.969	42.969
79	8	0	-28.291354	-62.728377	-1.614423	1211	1662	43.519	43.519	43.519
80	8	0	-28.265390	-63.280037	-1.523765	1212	1673	44.072	44.072	44.072
81	8	0	-28.289389	-63.829512	-1.614445	1211	1684	44.622	44.622	44.622
82	8	0	-28.265609	-64.431118	-1.531290	1212	1696	45.224	45.224	45.224
83	8	0	-28.239645	-64.982784	-1.523766	1212	1707	45.776	45.776	45.776
84	8	0	-28.263632	-65.532259	-1.614423	1212	1718	46.326	46.326	46.326
85	8	0	-28.287619	-66.081734	-1.614423	1211	1729	46.876	46.876	46.876
86	8	0	-28.311618	-66.631209	-1.614445	1211	1740	47.426	47.426	47.426
87	8	0	-28.335605	-67.180690	-1.614422	1211	1751	47.976	47.976	47.976
88	8	0	-27.833896	-67.152541	0.056048	1221	1751	48.479	48.479	48.479
89	8	0	-27.286606	-67.226491	-0.134307	1232	1752	49.031	49.031	49.031
90	8	0	-26.784897	-67.198342	0.056048	1242	1752	49.533	49.533	49.533
91	8	0	-26.760910	-66.648867	1.527170	1242	1741	50.083	50.083	50.083
92	8	0	-26.786874	-66.097213	1.617828	1242	1730	50.636	50.636	50.636
93	8	0	-26.762875	-65.547738	1.527148	1242	1719	51.186	51.186	51.186
94	8	0	-26.788839	-64.996071	1.617827	1241	1708	51.738	51.738	51.738
95	8	0	-26.764853	-64.446596	1.527170	1242	1697	52.288	52.288	52.288
96	8	0	-26.740866	-63.897121	1.527170	1242	1686	52.838	52.838	52.838
97	8	0	-26.716867	-63.347646	1.527148	1243	1675	53.388	53.388	53.388
98	8	0	-26.642929	-62.800350	1.436512	1244	1664	53.940	53.940	53.940
99	8	0	-26.718844	-62.246511	1.707019	1243	1653	54.499	54.499	54.499
100	8	0	-26.644894	-61.699215	1.436491	1244	1642	55.051	55.051	55.051
101	8	0	-26.670858	-61.147560	1.617828	1244	1631	55.604	55.604	55.604
102	8	0	-26.646872	-60.598085	1.527170	1244	1620	56.154	56.154	56.154
103	8	0	-26.672836	-60.046425	1.617827	1244	1609	56.706	56.706	56.706
104	8	0	-26.598886	-59.499129	1.436491	1245	1598	57.258	57.258	57.258
105	8	0	-26.624850	-58.947475	1.617828	1245	1587	57.810	57.810	57.810
106	8	0	-26.600863	-58.397994	1.527170	1245	1576	58.360	58.360	58.360
107	8	0	-26.576864	-57.848519	1.527148	1246	1565	58.910	58.910	58.910
108	8	0	-26.552878	-57.299044	1.527170	1246	1554	59.460	59.460	59.460
109	8	0	-26.528891	-56.749568	1.527170	1247	1543	60.010	60.010	60.010
110	8	0	-26.554843	-56.197908	1.617805	1246	1532	60.563	60.563	60.563
111	8	0	-26.530856	-55.648433	1.527170	1247	1521	61.113	61.113	61.113
112	8	0	-26.556820	-55.096773	1.617827	1246	1510	61.665	61.665	61.665
113	8	0	-26.532834	-54.547298	1.527170	1247	1499	62.215	62.215	62.215
114	8	0	-26.558786	-53.995638	1.617805	1246	1488	62.767	62.767	62.767
115	8	0	-26.534799	-53.446163	1.527170	1247	1477	63.317	63.317	63.317
116	8	0	-26.510812	-52.896688	1.527170	1247	1466	63.867	63.867	63.867
117	8	0	-26.486813	-52.347212	1.527148	1248	1455	64.417	64.417	64.417
118	8	0	-26.560556	-51.743416	1.692326	1246	1442	65.026	65.026	65.026
119	8	0	-26.536557	-51.193941	1.527148	1247	1431	65.576	65.576	65.576
120	8	0	-26.562521	-50.642287	1.617828	1246	1420	66.128	66.128	66.128
121	8	0	-26.990280	-50.123134	2.259975	1237	1410	66.800	66.800	66.800
122	8	0	-27.016244	-49.571480	1.617828	1237	1399	67.353	67.353	67.353
123	8	0	-27.541733	-48.998006	2.312558	1226	1388	68.131	68.131	68.131
124	8	0	-26.440597	-48.996041	0.001785	1248	1388	69.232	69.232	69.232
125	8	0	-25.891122	-49.020027	-0.043626	1259	1388	69.782	69.782	69.782
126	8	0	-25.335104	-48.894161	0.222620	1271	1385	70.352	70.352	70.352
127	8	0	-24.785629	-48.918154	-0.043637	1282	1386	70.902	70.902	70.902
128	8	0	-24.233969	-48.892189	0.047031	1293	1385	71.454	71.454	71.454
129	8	0	-23.684494	-48.916182	-0.043637	1304	1386	72.004	72.004	72.004
130	8	0	-23.132834	-48.890218	0.047031	1315	1385	72.556	72.556	72.556
131	8	0	-22.583358	-48.914211	-0.043637	1326	1386	73.106	73.106	73.106
132	8	0	-22.031698	-48.888246	0.047031	1337	1385	73.659	73.659	73.659
133	8	0	-21.480038	-48.862288	0.047020	1348	1385	74.211	74.211	74.211
134	8	0	-20.930563	-48.886275	-0.043626	1359	1385	74.761	74.761	74.761
135	8	0	-20.381088	-48.910268	-0.043637	1370	1386	75.311	75.311	75.311
136	8	0	-19.835971	-49.034163	-0.223485	1381	1388	75.870	75.870	75.870
137	8	0	-19.284323	-49.008199	0.047032	1392	1388	76.422	76.422	76.422
138	8	0	-18.734835	-49.032192	-0.043636	1403	1388	76.972	76.972	76.972
139	8	0	-18.181002	-48.956282	0.136213	1414	1387	77.531	77.531	77.531
140	8	0	-17.631527	-48.980269	-0.043626	1425	1387	78.081	78.081	78.081
141	8	0	-17.079867	-48.954305	0.047031	1436	1387	78.633	78.633	78.633
142	8	0	-16.526034	-48.878389	0.136224	1447	1385	79.192	79.192	79.192
143	8	0	-15.976547	-48.902382	-0.043636	1458	1386	79.742	79.742	79.742
144	8	0	-15.424899	-48.876424	0.047021	1469	1385	80.295	80.295	80.295
145	8	0	-14.873239	-48.850459	0.047031	1480	1385	80.847	80.847	80.847
146	8	0	-14.328121	-48.974355	-0.223485	1491	1387	81.406	81.406	81.406
147	8	0	-13.835141	-49.146022	-0.335091	1501	1391	81.928	81.928	81.928
148	8	0	-13.285665	-49.170015	-0.043637	1512	1391	82.478	82.478	82.478
149	8	0	-12.734005	-49.144051	0.047031	1523	1390	83.030	83.030	83.030
150	8	0	-12.184530	-49.168038	-0.043626	1534	1391	83.580	83.580	83.580
151	8	0	-11.632870	-49.142085	0.047009	1545	1390	84.133	84.133	84.133
152	8	0	-11.085580	-49.216023	-0.134285	1556	1392	84.685	84.685	84.685
153	8	0	-10.538278	-49.289968	-0.134293	1566	1393	85.237	85.237	85.237
154	8	0	-9.988803	-49.313960	-0.043637	1577	1394	85.787	85.787	85.787
155	8	0	-9.439327	-49.337947	-0.043626	1588	1394	86.337	86.337	86.337
156	8	0	-8.887667	-49.311983	0.047031	1599	1394	86.889	86.889	86.889
157	8	0	-8.338192	-49.335976	-0.043637	1610	1394	87.439	87.439	87.439
158	8	0	-7.786532	-49.310018	0.047020	1622	1394	87.992	87.992	87.992
159	8	0	-7.234884	-49.284053	0.047032	1633	1393	88.544	88.544	88.544
160	8	0	-6.685397	-49.308040	-0.043625	1644	1394	89.094	89.094	89.094
161	8	0	-6.133749	-49.282082	0.047021	1655	1393	89.646	89.646	89.646
162	8	0	-5.584274	-49.306075	-0.043637	1666	1394	90.196	90.196	90.196
