========================================
覆盖路径点统计信息
========================================
总路径点数: 482

总路径距离: 258.846 米

----------------------------------------
按房间统计
----------------------------------------
房间 8: 482 个点, 距离: 258.846 米

----------------------------------------
按房间+Segment统计
----------------------------------------
房间 8, Segment 0: 482 个点, 距离: 258.846 米

----------------------------------------
详细路径点信息
----------------------------------------
ID	Room	Segment	X(m)	Y(m)	Yaw(rad)	U(px)	V(px)	Acc_Dist	Room_Dist	Seg_Dist
0	8	0	-0.792423	-48.413975	3.101614	1761	1376	0.000	0.000	0.000
1	8	0	-1.244632	-48.322903	3.101614	1752	1374	0.461	0.461	0.461
2	8	0	-1.744232	-48.302919	3.101614	1742	1374	0.961	0.961	0.961
3	8	0	-2.243833	-48.282935	3.123208	1732	1373	1.461	1.461	1.461
4	8	0	-2.893459	-48.281789	-3.141193	1719	1373	2.111	2.111	2.111
5	8	0	-3.393457	-48.283394	-3.138382	1709	1373	2.611	2.611	2.611
6	8	0	-3.893454	-48.284999	-3.138382	1699	1373	3.111	3.111	3.111
7	8	0	-4.393451	-48.286604	-3.138382	1689	1373	3.611	3.611	3.611
8	8	0	-4.893449	-48.288209	-3.138382	1679	1373	4.111	4.111	4.111
9	8	0	-5.393446	-48.289814	-3.138382	1669	1373	4.611	4.611	4.611
10	8	0	-5.893444	-48.291419	-3.138382	1659	1373	5.111	5.111	5.111
11	8	0	-6.393441	-48.293025	-3.138382	1649	1373	5.611	5.611	5.611
12	8	0	-6.893439	-48.294630	-3.138382	1639	1374	6.111	6.111	6.111
13	8	0	-7.393436	-48.296235	-3.138382	1629	1374	6.611	6.611	6.611
14	8	0	-7.893433	-48.297840	-3.138382	1619	1374	7.111	7.111	7.111
15	8	0	-8.393431	-48.299445	-3.138382	1609	1374	7.611	7.611	7.611
16	8	0	-8.893428	-48.301050	-3.138382	1599	1374	8.111	8.111	8.111
17	8	0	-9.393426	-48.302655	-3.138382	1589	1374	8.611	8.611	8.611
18	8	0	-9.893423	-48.304260	-3.138382	1579	1374	9.111	9.111	9.111
19	8	0	-10.393421	-48.305866	-3.138382	1569	1374	9.611	9.611	9.611
20	8	0	-10.893418	-48.307471	-3.138382	1559	1374	10.111	10.111	10.111
21	8	0	-11.393415	-48.309076	-3.138382	1549	1374	10.611	10.611	10.611
22	8	0	-11.893413	-48.310681	-3.138382	1539	1374	11.111	11.111	11.111
23	8	0	-12.393410	-48.312286	-3.138382	1529	1374	11.611	11.611	11.611
24	8	0	-12.893408	-48.313891	-3.138382	1519	1374	12.111	12.111	12.111
25	8	0	-13.393405	-48.315496	-3.138382	1509	1374	12.611	12.611	12.611
26	8	0	-13.893403	-48.317101	-3.138382	1499	1374	13.111	13.111	13.111
27	8	0	-14.393400	-48.318707	-3.138382	1489	1374	13.611	13.611	13.611
28	8	0	-14.893397	-48.320312	-3.138382	1479	1374	14.111	14.111	14.111
29	8	0	-15.393395	-48.321917	-3.138382	1469	1374	14.611	14.611	14.611
